Subject,Question,Choice1,Choice2,Choice3,Choice4,CorrectAnswer,Explanation,,,,,,,,,,
Social Issues and Professional Practice,What is defined as a set of beliefs about right and wrong behavior?,Laws,Ethics,Policies,Regulations,Ethics,Ethics is a set of beliefs about right and wrong behavior.,,,,,,,,,,
Social Issues and Professional Practice,Which act was enacted in response to public outrage over several major accounting scandals and requires the CEO and CFO to sign any SEC filing to attest to its accuracy?,General Data Protection Regulation (GDPR),Sarbanes-Oxley Act,Health Insurance Portability and Accountability Act (HIPAA),Computer Fraud and Abuse Act,Sarbanes-Oxley Act,The Sarbanes-Oxley Act was enacted in response to accounting scandals and requires the CEO and CFO to attest to the accuracy of SEC filings.,,,,,,,,,,
Social Issues and Professional Practice,According to the 'Ten Commandments of Computer Ethics," which of the following is NOT one of the commandments?,Thou shalt not use a computer to harm other people.'",Thou shalt not snoop around in other people's computer files.,Thou shalt use a computer to steal.,Thou shalt not use a computer to bear false witness.,Thou shalt use a computer to steal.,The commandment is 'Thou shalt NOT use a computer to steal.',,,,,,,,,,
Social Issues and Professional Practice,Which philosophical theory for ethical decision making states that the ethical choice best reflects moral virtues in yourself and your community?,Utilitarian approach,Fairness approach,Virtue ethics approach,Common good approach,Virtue ethics approach,The virtue ethics approach states the ethical choice best reflects moral virtues in yourself and your community.,,,,,,,,,,
Social Issues and Professional Practice,What is defined as the first step in the 7-step approach to ethical decision making?,Identify stakeholders and their positions,Get the facts,Consider the consequences of a decision,Develop and evaluate options,Get the facts,The first step in ethical decision making is to 'Get the facts.',,,,,,,,,,
Social Issues and Professional Practice,What is the act of illegally making copies of software or enabling others to access software to which they are not entitled?,Software Piracy,Whistle-blowing,Bribery,Fraud,Software Piracy,Software piracy is the act of illegally making copies of software.,,,,,,,,,,
Social Issues and Professional Practice,Which act makes it a crime to bribe a foreign official or candidate for foreign political office?,Sarbanes-Oxley Act,U.S. Foreign Corrupt Practices Act (FCPA),Computer Fraud and Abuse Act,CAN-SPAM Act,U.S. Foreign Corrupt Practices Act (FCPA),The U.S. Foreign Corrupt Practices Act (FCPA) makes it a crime to bribe a foreign official to obtain a business advantage.,,,,,,,,,,
Social Issues and Professional Practice,What occurs when a party attracts attention to a negligent or illegal act that threatens the public interest?,Trade Secret Theft,Whistle-blowing,Malpractice,Breach of Contract,Whistle-blowing,Whistle-blowing attracts attention to acts that threaten the public interest.,,,,,,,,,,
Social Issues and Professional Practice,Which prominent professional organization has its own code of ethics for IT professionals?,Association for Computing Machinery (ACM),World Health Organization (WHO),International Monetary Fund (IMF),United Nations (UN),Association for Computing Machinery (ACM),The ACM is one of the prominent professional organizations with a code of ethics.,,,,,,,,,,
Social Issues and Professional Practice,What is defined as the obligation to protect people against any unreasonable harm or risk in the context of IT professional malpractice?,Negligence,Duty of care,Fraud,Licensing,Duty of care,Duty of care refers to the obligation to protect people against unreasonable harm or risk.,,,,,,,,,,
Social Issues and Professional Practice,"According to the 1987 Philippine Constitution, the privacy of communication and correspondence shall be inviolable except upon what condition?",Whenever a police officer suspects a crime.,"Upon lawful order of the court, or when public safety or order requires otherwise as prescribed by law.",When a spouse suspects infidelity,During a routine checkup,"Upon lawful order of the court, or when public safety or order requires otherwise as prescribed by law.",The 1987 Philippine Constitution states that privacy is inviolable except upon lawful order of the court or for public safety.,,,,,,,,,,
Social Issues and Professional Practice,Which Republic Act in the Philippines is known as the 'Anti-Wiretapping Act'?,RA 4200,RA 10173,RA 10175,RA 7438,RA 4200,RA 4200 is the Anti-Wiretapping Act.,,,,,,,,,,
Social Issues and Professional Practice,Which Republic Act regulates the processing of personal information of individuals collected by both public and private entities?,RA 4200 (Anti-Wiretapping Act),RA 10173 (Data Privacy Act),RA 10175 (Cybercrime Prevention Act),RA 9165 (Comprehensive Dangerous Drugs Act),RA 10173 (Data Privacy Act),RA 10173 is the Data Privacy Act.,,,,,,,,,,
Social Issues and Professional Practice,What occurs when a person knowingly uses another person’s information in a fraudulent manner for the purpose of obtaining goods or services?,Phishing,Identity theft,Hacking,Spamming,Identity theft,Identity theft occurs when someone uses another's information for fraudulent purposes.,,,,,,,,,,
Social Issues and Professional Practice,"Which principle refers to 'a law which hears before it condemns; which proceeds upon inquiry, and renders judgment only after trial'?",Privacy Rights,Due process,Freedom of Expression,Intellectual Property,Due process,Due process is a law which hears before it condemns and renders judgment only after trial.,,,,,,,,,,
Social Issues and Professional Practice,Which of the following describes standards or codes of behavior expected of an individual by a group (such as a profession) to which an individual belongs?,Morals,Ethics,Laws,Vices,Ethics,Ethics describes standards or codes of behavior expected of an individual by a group.,,,,,,,,,,
Social Issues and Professional Practice,What is defined as a public and malicious imputation of a crime,vice,or defect tending to cause dishonor,discredit,or contempt of a person?,Slander,Libel,Plagiarism,Whistle-blowing,Libel,Article 353 of the Revised Penal Code defines libel as a public and malicious imputation of a crime or vice.,,,,,,
Social Issues and Professional Practice,Which section of the Cybercrime Prevention Act (RA 10175) addresses libel committed through a computer system?,Section 4(c)(4),Section 5,Section 12,Section 3,Section 4(c)(4),RA 10175 Section 4(c)(4) defines cyber libel.,,,,,,,,,,
Social Issues and Professional Practice,Which of the following is one of the two elements of freedom of expression as discussed in Lesson 4?,Freedom from taxes,Freedom from prior restraint or censorship,Freedom from education,Freedom from social media,Freedom from prior restraint or censorship,The two elements are freedom from prior restraint/censorship and freedom from punishment.,,,,,,,,,,
Social Issues and Professional Practice,What is the general term for the act of damaging the good reputation of someone?,Innovation,Inquiry,Defamation,Imputation,Defamation,Defamation is the act of damaging the good reputation of someone.,,,,,,,,,,
Social Issues and Professional Practice,Under RA 10175,what is the term for 'a libel as defined in Article 355 of the Revised Penal Code,committed through a computer system'?,Digital Theft,Cyber Libel,Internet Fraud,Data Breach,Cyber Libel,Cyber libel is libel committed through a computer system as per RA 10175.,,,,,,,,
Social Issues and Professional Practice,What term is used for an ethical hacker who breaks security for non-malicious reasons?,Black hat hacker,White hat hacker,Script kiddie,Grey hat hacker,White hat hacker,A white hat hacker breaks security for non-malicious reasons,such as testing security.,,,,,,,,,
Social Issues and Professional Practice,What is the forgery of an e-mail header so that the message appears to have originated from someone other than the actual source?,E-mail bombing,E-mail spoofing,Phishing,Spamming,E-mail spoofing,E-mail spoofing is the forgery of an e-mail header to deceive recipients about the sender's identity.,,,,,,,,,,
Social Issues and Professional Practice,Which type of software license allows for copying and sharing for a trial period,but requires payment to the owner for permanent use?,Public Domain License,Freeware License,Shareware License,All Rights Reserved,Shareware License,Shareware is licensed for trial use before requiring payment for permanent use.,,,,,,,,,
Social Issues and Professional Practice,Which offense is defined as the intentional access to the whole or any part of a computer system without right?,Illegal Interception,Data Interference,Illegal Access,System Interference,Illegal Access,Illegal access is defined as intentional access to a computer system without right.,,,,,,,,,,
Social Issues and Professional Practice,What is defined as the intentional or reckless alteration of computer data without right?,Illegal Interception,Data Interference,System Interference,Misuse of Device,Data Interference,Data interference is the intentional or reckless alteration of computer data without right.,,,,,,,,,,
Social Issues and Professional Practice,Which Republic Act is known as the Intellectual Property Code of the Philippines?,RA 10175,RA 8293,RA 4200,RA 10173,RA 8293,RA 8293 is the Intellectual Property Code of the Philippines.,,,,,,,,,,
Social Issues and Professional Practice,"Which rule states that the right to a patent belongs to the person who filed an application for the invention, or has the earliest filing date?",First to invent rule,First to file rule,Fair use rule,Public domain rule,First to file rule,The 'first to file rule' belongs to RA 8293 Section 29.,,,,,,,,,,
Social Issues and Professional Practice,What is the act of taking credit for someone else's work or 'passing off as your own somebody else's ideas or words'?,Copyright Infringement,Plagiarism,Trade Secret Theft,Libel,Plagiarism,Plagiarism is the act of taking credit for someone else's work.,,,,,,,,,,
Social Issues and Professional Practice,Which of the following is a LEGAL aspect of intellectual property violation?,Plagiarism,Copyright Infringement,Ethics,Morality,Copyright Infringement,Copyright infringement is within the legal aspect while plagiarism is within the ethical aspect.,,,,,,,,,,
Social Issues and Professional Practice,Which act was enacted on February 10 2004 to strengthen the fight against the proliferation of pirated CDs in the market?,Cybercrime Prevention Act,Intellectual Property Code,The Optical Media Act,Data Privacy Act,The Optical Media Act,The Optical Media Act was enacted to fight against pirated CDs.,,,,,,,,,,
Social Issues and Professional Practice,Under RA 8293 Section 178.3 if a work is the result of the performance of an employee's regularly-assigned duties who does the copyright belong to?,The Employee,The Employer,The Government,The Public,The Employer,Copyright belongs to the employer if the work is part of regularly-assigned duties unless otherwise agreed.,,,,,,,,,,
Social Issues and Professional Practice,Which of the following is NOT one of the four tests an invention must pass to be eligible for a patent?,Must be novel,Must be useful,Must be expensive to produce,Must be non-obvious,Must be expensive to produce,The four tests are: statutory class,useful,novel,and non-obvious.,,,,,,,
Social Issues and Professional Practice,What is the process of taking something apart in order to understand it,build a copy of it,or improve it?,Competitive Intelligence,Reverse Engineering,Cybersquatting,Plagiarism,Reverse Engineering,Reverse engineering is the process of taking something apart to understand or copy it.,,,,,,,,
Social Issues and Professional Practice,Which tool reads machine language and produces source code?,Compiler,Decompiler,Interpreter,Debugger,Decompiler,A decompiler reads machine language and produces source code.,,,,,,,,,,
Social Issues and Professional Practice,What is the gathering of legally obtainable information to help a company gain an advantage over rivals?,Industrial Espionage,Competitive Intelligence,Cybersquatting,Data Mining,Competitive Intelligence,Competitive intelligence involves gathering legally obtainable information about rivals.,,,,,,,,,,
Social Issues and Professional Practice,What is the practice of registering a domain name for a famous trademark or company name with the hope that the owner will buy it for a large sum?,Phishing,Cybersquatting,Spamming,Spoofing,Cybersquatting,Cybersquatting is registering domain names for trademarks with the intent to sell them.,,,,,,,,,,
Social Issues and Professional Practice,Which legal doctrine allows portions of copyrighted materials to be used without permission under certain circumstances?,Fair use doctrine,First to file rule,Public domain,Digital Millennium Copyright Act,Fair use doctrine,The fair use doctrine allows limited use of copyrighted material without permission.,,,,,,,,,,
Social Issues and Professional Practice,Which type of software product liability claim occurs when the defendant is held responsible for the injury regardless of negligence or intent?,Negligence,Strict liability,Breach of warranty,Intentional misrepresentation,Strict liability,Strict liability holds the defendant responsible for injury regardless of negligence or intent.,,,,,,,,,,
Social Issues and Professional Practice,What is the name of the process improvement approach defined by the Software Engineering Institute that identifies five levels of software development maturity?,ISO 9000,CMMI (Capability Maturity Model Integration),Six Sigma,Agile Methodology,CMMI (Capability Maturity Model Integration),CMMI defines five levels of software development maturity.,,,,,,,,,,
Social Issues and Professional Practice,What term is used for a system whose failure may cause injury or death?,Mission-critical system,Safety-critical system,Business-critical system,Legacy system,Safety-critical system,A safety-critical system is one where failure may lead to injury or death.,,,,,,,,,,
Social Issues and Professional Practice,Which type of testing involves testing all possible logic paths through the software unit with thorough knowledge of the logic?,Black-box testing,White-box testing,Static testing,User acceptance testing,White-box testing,White-box testing requires knowledge of the code's internal logic.,,,,,,,,,,
Social Issues and Professional Practice,What is defined as the probability of a component or system performing without failure over its product life?,Availability,Reliability,Maintainability,Scalability,Reliability,Reliability is the probability of performing without failure over the product life.,,,,,,,,,,
